id;name;description;community
1;Car payment;protocol Tools;EMPLOYEE
2;utilize Compatible;hybrid Open-architected sky blue;EMPLOYEE
3;interface Garden;Automotive;DEALER
4;yellow ADP Architect;Intelligent;POOLID
5;auxiliary;International French Southern Territories;SUPPLIER
6;Steel foreground Assurance;Metical Advanced Avon;CUSTOMER
7;parsing;drive;CUSTOMER
8;dot-com;multi-tasking Borders Dynamic;CUSTOMER
9;cross-platform digital;challenge sky blue Electronics;POOLID
10;Cheese Polarised;orchid Lake Assurance;BOT
